player,team,position,season,ppr_avg,rank_in_pos
C.Wentz,LA,QB,2023,26.12,1
J.Allen,BUF,QB,2023,24.147368421052633,2
L.Jackson,BAL,QB,2023,21.43777777777778,3
D.Prescott,DAL,QB,2023,20.747777777777777,4
J.Hurts,PHI,QB,2023,20.628888888888888,5
J.Flacco,CLE,QB,2023,19.07,6
J.Love,GB,QB,2023,18.731578947368423,7
K.Cousins,MIN,QB,2023,18.7175,8
K.Murray,ARI,QB,2023,18.295,9
A.Richardson,IND,QB,2023,18.17,10
B.Purdy,SF,QB,2023,18.103157894736842,11
J.Herbert,LAC,QB,2023,18.012307692307694,12
C.Stroud,HOU,QB,2023,17.998823529411766,13
P.Mahomes,KC,QB,2023,17.918,14
J.Fields,CHI,QB,2023,17.706153846153846,15
R.Wilson,DEN,QB,2023,17.126666666666665,16
B.Mayfield,TB,QB,2023,17.08421052631579,17
J.Goff,DET,QB,2023,16.944,18
M.Stafford,LA,QB,2023,16.61125,19
T.Lawrence,JAX,QB,2023,16.40875,20
J.Browning,CIN,QB,2023,16.04888888888889,21
T.Tagovailoa,MIA,QB,2023,15.823333333333332,22
J.Dobbs,ARI,QB,2023,15.82,23
J.Dobbs,MIN,QB,2023,15.219999999999999,24
G.Smith,SEA,QB,2023,15.150666666666666,25
S.Howell,WAS,QB,2023,15.149411764705883,26
J.Burrow,CIN,QB,2023,14.716,27
D.Watson,CLE,QB,2023,14.466666666666667,28
D.Carr,NO,QB,2023,14.183529411764706,29
J.Driskel,CLE,QB,2023,13.94,30
E.Stick,LAC,QB,2023,13.512,31
N.Mullens,MIN,QB,2023,13.348000000000003,32
J.Stidham,DEN,QB,2023,13.32,33
T.Heinicke,ATL,QB,2023,13.2,34
G.Minshew,IND,QB,2023,12.262500000000001,35
D.Ridder,ATL,QB,2023,12.076,36
A.Dalton,CAR,QB,2023,11.82,37
A.O'Connell,LV,QB,2023,11.43818181818182,38
J.Brissett,WAS,QB,2023,11.43,39
W.Levis,TEN,QB,2023,11.335555555555555,40
M.Rudolph,PIT,QB,2023,11.264000000000001,41
T.Bagent,CHI,QB,2023,10.652000000000001,42
T.DeVito,NYG,QB,2023,10.393333333333334,43
Z.Wilson,NYJ,QB,2023,9.995,44
B.Young,CAR,QB,2023,9.77375,45
M.Trubisky,PIT,QB,2023,9.736,46
M.Jones,NE,QB,2023,9.672727272727274,47
D.Jones,NYG,QB,2023,9.493333333333334,48
K.Pickett,PIT,QB,2023,9.183333333333334,49
J.Garoppolo,LV,QB,2023,9.157142857142857,50
R.Tannehill,TEN,QB,2023,8.893333333333333,51
T.Taylor,NYG,QB,2023,8.734,52
D.Lock,SEA,QB,2023,7.279999999999999,53
B.Zappe,NE,QB,2023,6.918000000000001,54
M.Mariota,PHI,QB,2023,5.88,55
T.Siemian,NYJ,QB,2023,5.392,56
T.Huntley,BAL,QB,2023,5.124,57
C.Keenum,HOU,QB,2023,4.87,58
P.Walker,CLE,QB,2023,3.9919999999999995,59
T.Boyle,NYJ,QB,2023,3.6333333333333333,60
C.Beathard,JAX,QB,2023,3.5766666666666667,61
B.Rypien,LA,QB,2023,3.39,62
D.Thompson-Robinson,CLE,QB,2023,3.1571428571428575,63
B.Gabbert,KC,QB,2023,2.950000000000001,64
D.Mills,HOU,QB,2023,2.9433333333333334,65
B.Hoyer,LV,QB,2023,2.4699999999999998,66
S.Darnold,SF,QB,2023,2.338,67
J.Winston,NO,QB,2023,1.9933333333333332,68
M.Willis,TEN,QB,2023,1.53,69
C.Tune,ARI,QB,2023,1.2466666666666666,70
J.Hall,MIN,QB,2023,0.706666666666667,71
S.Clifford,GB,QB,2023,0.64,72
C.Rush,DAL,QB,2023,0.4657142857142857,73
A.McCarron,CIN,QB,2023,0.38,74
M.White,MIA,QB,2023,0.3433333333333333,75
A.Rodgers,NYJ,QB,2023,0.0,76
K.Trask,TB,QB,2023,-0.05,77
T.Bridgewater,DET,QB,2023,-0.2,78
K.Allen,BUF,QB,2023,-0.21666666666666667,79
M.Barkley,JAX,QB,2023,-0.3,80
L.Woodside,ATL,QB,2023,-0.3199999999999998,81
N.Peterman,CHI,QB,2023,-0.4,82
C.McCaffrey,SF,RB,2023,25.278947368421054,1
K.Williams,LA,RB,2023,20.23076923076923,2
A.Kamara,NO,RB,2023,17.923076923076923,3
B.Hall,NYJ,RB,2023,17.08823529411765,4
R.Mostert,MIA,RB,2023,16.98125,5
T.Etienne,JAX,RB,2023,16.61176470588235,6
D.Achane,MIA,RB,2023,16.391666666666666,7
J.Gibbs,DET,RB,2023,16.272222222222226,8
S.Barkley,NYG,RB,2023,15.942857142857145,9
J.Mixon,CIN,RB,2023,15.705882352941176,10
J.Taylor,IND,RB,2023,15.64,11
R.White,TB,RB,2023,15.552631578947368,12
I.Pacheco,KC,RB,2023,15.511111111111111,13
J.Conner,ARI,RB,2023,15.5,14
